"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"tranquil","adjective","calm and peaceful","Someone who is tranquil is calm and peaceful, and the character seemed exactly that.","Unit 04"
"transcend","verb","to rise above or exceed the limits","To transcend means to rise above or exceed the limits, so the group chose to transcend before the problem became worse.","Unit 28"
"transgress","verb","to violate, go over a limit","To transgress means to violate, go over a limit, so the group chose to transgress before the problem became worse.","Unit 41"
"transient","adjective","passing quickly or staying briefly","Someone who is transient is passing quickly or staying briefly, and the character seemed exactly that.","Unit 39"
"transmute","verb","to change or alter in form","To transmute means to change or alter in form, so the group chose to transmute before the problem became worse.","Unit 28"
"travesty","noun","a grossly inferior imitation","The word travesty refers to a grossly inferior imitation, and that meaning fits the scene.","Unit 12"
"treacherous","adjective","untrustworthy or unstable","Someone who is treacherous is untrustworthy or unstable, and the character seemed exactly that.","Unit 36"
"treacly","adjective","overly sweet or sentimental","Someone who is treacly is overly sweet or sentimental, and the character seemed exactly that.","Unit 05"
"tremulous","adjective","fearful","Someone who is tremulous is fearful, and the character seemed exactly that.","Unit 17"
"trenchant","adjective","effective, articulate, clear-cut","Someone who is trenchant is effective, articulate, clear-cut, and the character seemed exactly that.","Unit 27"
"trepidation","noun","fear, apprehension","The word trepidation refers to fear, apprehension, and that meaning fits the scene.","Unit 26"
"trite","adjective","repeated too often; overfamiliar through overuse Be sure to avoid trite expressions in your essay; instead of writing clich?s like ""I learned my lesson the hard way, "" choose original sentences such as ""It was a difficult lesson to learn","Someone who is trite is repeated too often; overfamiliar through overuse Be sure to avoid trite expressions in your essay; instead of writing clich?s like ""I learned my lesson the hard way, "" choose original sentences such as ""It was a difficult lesson to learn, and the character seemed exactly that.","Unit 37"
"trivial","adjective","small and of little importance","Someone who is trivial is small and of little importance, and the character seemed exactly that.","Unit 29"
"troubadour","noun","a traveling singer","The word troubadour refers to a traveling singer, and that meaning fits the scene.","Unit 13"
"truculence","noun","brutal cruelty and aggressiveness","The word truculence refers to brutal cruelty and aggressiveness, and that meaning fits the scene.","Unit 05"
"truculent","adjective","ready to fight, cruel","Someone who is truculent is ready to fight, cruel, and the character seemed exactly that.","Unit 20"
"truncate","verb","to shorten by cutting off","To truncate means to shorten by cutting off, so the group chose to truncate before the problem became worse.","Unit 31"
"truncated","adjective","shortened by cutting off a part","Someone who is truncated is shortened by cutting off a part, and the character seemed exactly that.","Unit 34"
"tumultuous","adjective","characterized by unrest, commotion, or agitation","Someone who is tumultuous is characterized by unrest, commotion, or agitation, and the character seemed exactly that.","Unit 20"
"turgid","adjective","swollen, excessively embellished in style or language","Someone who is turgid is swollen, excessively embellished in style or language, and the character seemed exactly that.","Unit 02"
"turmoil","noun","a scene of great commotion, confusion, and disorder","The word turmoil refers to a scene of great commotion, confusion, and disorder, and that meaning fits the scene.","Unit 18"
"turpitude","noun","vile, shameful behavior","The word turpitude refers to vile, shameful behavior, and that meaning fits the scene.","Unit 40"
"tyranny","noun","dominance through threat of punishment and violence","The word tyranny refers to dominance through threat of punishment and violence, and that meaning fits the scene.","Unit 41"
"ubiquitous","adjective","existing everywhere, widespread","Someone who is ubiquitous is existing everywhere, widespread, and the character seemed exactly that.","Unit 44"
"umbrage","noun","resentment, offense","The word umbrage refers to resentment, offense, and that meaning fits the scene.","Unit 28"
"uncanny","adjective","of supernatural character or origin","Someone who is uncanny is of supernatural character or origin, and the character seemed exactly that.","Unit 31"
"unctuous","adjective","unpleasantly and excessively suave","Someone who is unctuous is unpleasantly and excessively suave, and the character seemed exactly that.","Unit 24"
"undermine","verb","to weaken","To undermine means to weaken, so the group chose to undermine before the problem became worse.","Unit 17"
"underscore","verb","To emphasize or give additional weight to","To underscore means to emphasize or give additional weight to, so the group chose to underscore before the problem became worse.","Unit 07"
"understudy","noun","an actor able to replace a regular performer when required The understudy learned the dialogue for three different roles in case any of the three actors could not perform. Word Form: understudy (vb.) usurper: (n) a person who wrongfully or illegally seizes and holds the place of another","The word understudy refers to an actor able to replace a regular performer when required The understudy learned the dialogue for three different roles in case any of the three actors could not perform. Word Form: understudy (vb.) usurper: (n) a person who wrongfully or illegally seizes and holds the place of another, and that meaning fits the scene.","Unit 20"
